"Product ID";Image;Name;Reference;Category;"Price (tax excl.)";"Price (tax incl.)";Quantity;Status;Position
17889;https://petchemparts.com//.jpg;"Can 20L with funnel for waste solvent, PP, Blue";;Home;0.000000;0;0;1;10788
17888;https://petchemparts.com//.jpg;"Ice Bucket with sholder strap. Cooler Box 13.3L";;Home;0.000000;0;0;1;10787
17887;https://petchemparts.com//.jpg;"Stand- for mini cylinder";;Home;0.000000;0;0;1;10786
17886;https://petchemparts.com//.jpg;"Tray PP container (gray)
";;Home;0.000000;0;0;1;10785
17885;https://petchemparts.com//.jpg;"Wiper, 120*215mm";;Home;0.000000;0;0;1;10784
17884;https://petchemparts.com//.jpg;"Wiper Towel, 380*330";;Home;0.000000;0;0;1;10783
17883;https://petchemparts.com//.jpg;"Nitrile Powderfree chemical resistance gloves L-size";;Home;0.000000;0;0;1;10782
17882;https://petchemparts.com//.jpg;"Nitrile Powderfree chemical resistance gloves M-size";;Home;0.000000;0;0;1;10781
17881;https://petchemparts.com//.jpg;"Nitrile Powderfree chemical resistance gloves S-size";;Home;0.000000;0;0;1;10780
17880;https://petchemparts.com//.jpg;"Butyl Gloves S size";;Home;0.000000;0;0;1;10779
17879;https://petchemparts.com//.jpg;"Butyl Gloves M size";;Home;0.000000;0;0;1;10778
17878;https://petchemparts.com//.jpg;"Butyl Gloves L size";;Home;0.000000;0;0;1;10777
17877;https://petchemparts.com//.jpg;"Electrode DM 143 亡C -KF titrator";;Home;0.000000;0;0;1;10776
17876;https://petchemparts.com//.jpg;"Electrode DM i141-SC -Potentiometer";;Home;0.000000;0;0;1;10775
17875;https://petchemparts.com//.jpg;"Electrode DG i115-SC - Potentiometer";;Home;0.000000;0;0;1;10774
17874;https://petchemparts.com//.jpg;"Electrode DG i116-SC -Potentiometer";;Home;0.000000;0;0;1;10773
17873;https://petchemparts.com//.jpg;"B-Counter electrode-1,";;Home;0.000000;0;0;1;10772
17872;https://petchemparts.com//.jpg;"A-Working electrode-1 for Chloride Analysis, ";;Home;0.000000;0;0;1;10771
17871;https://petchemparts.com//.jpg;"PHENOTHIAZINE (PTZ) COMPOUND
";;Home;0.000000;0;0;1;10770
17870;https://petchemparts.com//.jpg;"Explosion-Proof Smoke Detector";;Home;0.000000;0;0;1;10769
17869;https://petchemparts.com//.jpg;"SOLID CATALYST-KATALCO 46-3Q";;Home;0.000000;0;0;1;10768
17868;https://petchemparts.com//.jpg;"STEAM REFORMER CATALYST-KATALCO 25-4Q";;Home;0.000000;0;0;1;10767
17867;https://petchemparts.com//.jpg;"STEAM REFORMER CATALYST-KATALCO 57-4Q";;Home;0.000000;0;0;1;10766
17866;https://petchemparts.com//.jpg;"LASER PULLEY ALIGNMENT SYSTEM/KIT";;Home;0.000000;0;0;1;10765
17865;https://petchemparts.com//.jpg;"Drive Pin Punch Set";;Home;0.000000;0;0;1;10764
17864;https://petchemparts.com//.jpg;"Peri pump tubes, PVC";;Home;0.000000;0;0;1;10763
17863;https://petchemparts.com//.jpg;"Peri pump tube 3 bridged grey/grey 12/pk";;Home;0.000000;0;0;1;10762
17862;https://petchemparts.com//.jpg;"Peri pump tubes, Viton, whit/whit. 12/pk";;Home;0.000000;0;0;1;10761
17861;https://petchemparts.com//.jpg;"Peri pump tubes, Viton, blue/blue. 12/pk";;Home;0.000000;0;0;1;10760
17860;https://petchemparts.com//.jpg;"SPS 4 probe 0.8mm-id inert";;Home;0.000000;0;0;1;10759
17859;https://petchemparts.com//.jpg;"Clear PVC tubing";;Home;0.000000;0;0;1;10758
17858;https://petchemparts.com//.jpg;"Nebulizer capillary tubing, per m";;Home;0.000000;0;0;1;10757
17857;https://petchemparts.com//.jpg;"UniFit sample connector";;Home;0.000000;0;0;1;10756
17856;https://petchemparts.com//.jpg;"PFA neb gas supply tubing";;Home;0.000000;0;0;1;10755
17855;https://petchemparts.com//.jpg;"Replacement Helix Seal ";;Home;0.000000;0;0;1;10754
17854;https://petchemparts.com//.jpg;"PFA sample tubing";;Home;0.000000;0;0;1;10753
17853;https://petchemparts.com//.jpg;"SPS 4 probe 0.5mm-id inert";;Home;0.000000;0;0;1;10752
17852;https://petchemparts.com//.jpg;"Drain tubing assembly for ICP-MS";;Home;0.000000;0;0;1;10751
17851;https://petchemparts.com//.jpg;"Peri pump tube Tygon 3-stop ";;Home;0.000000;0;0;1;10750
17850;https://petchemparts.com//.jpg;"Peri pump tube Tygon 2-stop";;Home;0.000000;0;0;1;10749
17849;https://petchemparts.com//.jpg;"ShieldTorch bonnet, quartz 7/8x00 ICP-MS";;Home;0.000000;0;0;1;10748
17848;https://petchemparts.com//.jpg;"UniFit sample connector, 0.5mm id, 10/pk";;Home;0.000000;0;0;1;10747
17847;https://petchemparts.com//.jpg;"UniFit sample connector, 0.25mm id, 10/pk";;Home;0.000000;0;0;1;10746
17846;https://petchemparts.com//.jpg;"ICP-MS stock tuning solution (100 mL)";;Home;0.000000;0;0;1;10745
17845;https://petchemparts.com//.jpg;"2ml Clear 9mm Thread w/Grad Marking Spot 100PK";;Home;0.000000;0;0;1;10744
17844;https://petchemparts.com//.jpg;"Combined glass pH electrode DGi115-SC, Plug & Play, with sensor chip";;Home;0.000000;0;0;1;10743
17843;https://petchemparts.com//.jpg;"Blower pulley
";;Home;0.000000;0;0;1;10742
17842;https://petchemparts.com//.jpg;"Blower pulley 
";;Home;0.000000;0;0;1;10741
17841;https://petchemparts.com//.jpg;"Thermomagnetic device circuit breaker ";;Home;0.000000;0;0;1;10740
17840;https://petchemparts.com//.jpg;"Hydraulic Filter Element
";;Home;0.000000;0;0;1;10739
17839;https://petchemparts.com//.jpg;"N-HEPTANE 99% (200lt)";;Home;0.000000;0;0;1;10738
17838;https://petchemparts.com//.jpg;"Graphite gasket 102 x 120 x 1, graphite/1.4401";;Home;0.000000;0;0;1;10737
